lang_a,lang_b,phoneme_a,top_reflex,top_prob,total_count,entropy,all_reflexes
Kazakh,Yakut,t,t,1.0,4,-0.0,t:4
Kazakh,Yakut,u,u,1.0,2,-0.0,u:2
Kazakh,Yakut,z,h,1.0,2,-0.0,h:2
Kazakh,Yakut,ĭ,i,0.5,6,1.459,"i:3, iː:2, e:1"
Kazakh,Yakut,ɯ,u,1.0,1,-0.0,u:1
Kazakh,Yakut,ʃ,-,0.5,2,1.0,"-:1, s:1"
Kyrgyz,Turkish,a,a,1.0,7,-0.0,a:7
Kyrgyz,Turkish,b,b,0.857,7,0.592,"b:6, p:1"
Kyrgyz,Turkish,d,t,1.0,1,-0.0,t:1
Kyrgyz,Turkish,e,e,0.833,6,0.65,"e:5, i:1"
Kyrgyz,Turkish,i,i,0.778,9,0.764,"i:7, -:2"
Kyrgyz,Turkish,k,k,0.571,7,1.379,"k:4, g:2, -:1"
Kyrgyz,Turkish,l,l,0.667,3,0.918,"l:2, -:1"
Kyrgyz,Turkish,n,n,1.0,2,-0.0,n:2
Kyrgyz,Turkish,q,k,0.857,7,0.592,"k:6, q:1"
Kyrgyz,Turkish,r,r,1.0,5,-0.0,r:5
Kyrgyz,Turkish,t,t,0.667,3,0.918,"t:2, d:1"
Kyrgyz,Turkish,u,u,1.0,4,-0.0,u:4
Kyrgyz,Turkish,z,z,1.0,3,-0.0,z:3
Kyrgyz,Turkish,ø,ø,1.0,2,-0.0,ø:2
Kyrgyz,Turkish,ɯ,u,0.333,3,1.585,"u:1, ɯ:1, -:1"
Kyrgyz,Turkish,ʃ,-,0.5,2,1.0,"-:1, ʃ:1"
Kyrgyz,Turkish,ʥ,j,1.0,2,-0.0,j:2
Kyrgyz,Turkmen,a,a,0.857,7,0.592,"a:6, aː:1"
Kyrgyz,Turkmen,b,b,0.857,7,0.592,"b:6, p:1"
Kyrgyz,Turkmen,d,d,1.0,1,-0.0,d:1
Kyrgyz,Turkmen,e,e,0.667,3,0.918,"e:2, i:1"
Kyrgyz,Turkmen,i,i,1.0,6,-0.0,i:6
Kyrgyz,Turkmen,k,g,0.667,3,0.918,"g:2, k:1"
Kyrgyz,Turkmen,l,l,0.667,3,0.918,"l:2, -:1"
Kyrgyz,Turkmen,n,n,1.0,2,-0.0,n:2
Kyrgyz,Turkmen,q,q,0.571,7,0.985,"q:4, ɢ:3"
Kyrgyz,Turkmen,r,r,1.0,4,-0.0,r:4
Kyrgyz,Turkmen,t,t,0.75,4,0.811,"t:3, d:1"
Kyrgyz,Turkmen,u,u,0.75,4,0.811,"u:3, ɯ:1"
Kyrgyz,Turkmen,z,z,1.0,3,-0.0,z:3
Kyrgyz,Turkmen,ø,ø,1.0,2,-0.0,ø:2
Kyrgyz,Turkmen,ɯ,ɯ,0.667,3,0.918,"ɯ:2, -:1"
Kyrgyz,Turkmen,ʥ,j,1.0,1,-0.0,j:1
Kyrgyz,Uyghur,-,ŋ,0.333,3,1.585,"ŋ:1, ɛ:1, n:1"
Kyrgyz,Uyghur,a,a,0.857,7,0.592,"a:6, o:1"
Kyrgyz,Uyghur,b,b,0.75,4,0.811,"b:3, p:1"
Kyrgyz,Uyghur,d,d,1.0,1,-0.0,d:1
Kyrgyz,Uyghur,e,æ,0.375,8,1.906,"æ:3, -:2, i:2, e:1"
Kyrgyz,Uyghur,i,i,0.727,11,1.096,"i:8, -:2, æ:1"
Kyrgyz,Uyghur,j,j,0.667,3,0.918,"j:2, -:1"
Kyrgyz,Uyghur,k,k,0.8,10,0.922,"k:8, -:1, kː:1"
Kyrgyz,Uyghur,l,l,1.0,1,-0.0,l:1
Kyrgyz,Uyghur,m,m,1.0,4,-0.0,m:4
Kyrgyz,Uyghur,n,n,0.5,4,1.0,"n:2, -:2"
Kyrgyz,Uyghur,q,q,1.0,6,-0.0,q:6
Kyrgyz,Uyghur,r,r,1.0,7,-0.0,r:7
Kyrgyz,Uyghur,s,s,1.0,1,-0.0,s:1
Kyrgyz,Uyghur,t,t,1.0,4,-0.0,t:4
Kyrgyz,Uyghur,tɕ,tɕ,1.0,2,-0.0,tɕ:2
Kyrgyz,Uyghur,u,u,1.0,6,-0.0,u:6
Kyrgyz,Uyghur,z,z,1.0,3,-0.0,z:3
Kyrgyz,Uyghur,ø,ø,1.0,2,-0.0,ø:2
Kyrgyz,Uyghur,øː,ø,1.0,1,-0.0,ø:1
Kyrgyz,Uyghur,ɯ,i,0.5,2,1.0,"i:1, u:1"
Kyrgyz,Uyghur,ʃ,-,0.5,2,1.0,"-:1, ʃ:1"
Kyrgyz,Uyghur,ʨ,tɕ,1.0,1,-0.0,tɕ:1
Kyrgyz,Uzbek,a,ɔ,0.667,3,0.918,"ɔ:2, a:1"
Kyrgyz,Uzbek,b,b,1.0,5,-0.0,b:5
Kyrgyz,Uzbek,e,e,0.6,5,1.371,"e:3, a:1, i:1"
Kyrgyz,Uzbek,i,i,1.0,10,-0.0,i:10
Kyrgyz,Uzbek,k,k,0.857,7,0.592,"k:6, kː:1"
Kyrgyz,Uzbek,l,l,1.0,2,-0.0,l:2
Kyrgyz,Uzbek,n,n,1.0,2,-0.0,n:2
Kyrgyz,Uzbek,q,q,1.0,4,-0.0,q:4
Kyrgyz,Uzbek,r,r,1.0,4,-0.0,r:4
Kyrgyz,Uzbek,t,t,1.0,3,-0.0,t:3
Kyrgyz,Uzbek,u,u,1.0,4,-0.0,u:4
Kyrgyz,Uzbek,z,z,1.0,3,-0.0,z:3
Kyrgyz,Uzbek,ø,o,1.0,2,-0.0,o:2
Kyrgyz,Uzbek,ɯ,i,1.0,1,-0.0,i:1
Kyrgyz,Uzbek,ʃ,ʃ,1.0,2,-0.0,ʃ:2
Kyrgyz,Uzbek,ʥ,j,1.0,1,-0.0,j:1
Kyrgyz,Yakut,a,aː,1.0,1,-0.0,aː:1
Kyrgyz,Yakut,b,b,1.0,3,-0.0,b:3
Kyrgyz,Yakut,e,i,0.429,7,1.842,"i:3, e:2, yː:1, -:1"
Kyrgyz,Yakut,i,i,0.444,9,1.837,"i:4, ɯ:2, iː:2, -:1"
Kyrgyz,Yakut,k,k,0.333,6,1.918,"k:2, -:2, s:1, kː:1"
Kyrgyz,Yakut,n,n,1.0,2,-0.0,n:2
Kyrgyz,Yakut,q,χ,1.0,1,-0.0,χ:1
Kyrgyz,Yakut,r,r,1.0,3,-0.0,r:3
Kyrgyz,Yakut,t,t,1.0,4,-0.0,t:4
Kyrgyz,Yakut,tɕ,s,1.0,1,-0.0,s:1
Kyrgyz,Yakut,u,u,1.0,3,-0.0,u:3
Kyrgyz,Yakut,z,h,1.0,1,-0.0,h:1
Kyrgyz,Yakut,ʃ,h,1.0,2,-0.0,h:2
Turkish,Turkmen,-,m,0.5,2,1.0,"m:1, e:1"
Turkish,Turkmen,a,a,0.9,10,0.469,"a:9, aː:1"
Turkish,Turkmen,b,b,1.0,6,-0.0,b:6
Turkish,Turkmen,d,d,1.0,1,-0.0,d:1
Turkish,Turkmen,e,e,0.667,3,0.918,"e:2, æ:1"
Turkish,Turkmen,g,g,1.0,2,-0.0,g:2
Turkish,Turkmen,i,i,1.0,7,-0.0,i:7
Turkish,Turkmen,j,j,1.0,1,-0.0,j:1
Turkish,Turkmen,k,q,0.333,12,1.585,"q:4, ɢ:4, k:4"
Turkish,Turkmen,l,l,1.0,3,-0.0,l:3
Turkish,Turkmen,m,m,1.0,1,-0.0,m:1
Turkish,Turkmen,n,n,1.0,5,-0.0,n:5
Turkish,Turkmen,p,p,1.0,1,-0.0,p:1
Turkish,Turkmen,q,q,1.0,1,-0.0,q:1
Turkish,Turkmen,r,r,1.0,5,-0.0,r:5
Turkish,Turkmen,s,s,1.0,3,-0.0,s:3
Turkish,Turkmen,t,d,0.5,4,1.0,"d:2, t:2"
Turkish,Turkmen,tɕ,tɕ,1.0,1,-0.0,tɕ:1
Turkish,Turkmen,u,u,0.667,6,0.918,"u:4, ɯ:2"
Turkish,Turkmen,y,y,1.0,2,-0.0,y:2
Turkish,Turkmen,z,z,1.0,4,-0.0,z:4
Turkish,Turkmen,ø,ø,1.0,3,-0.0,ø:3
Turkish,Turkmen,ɯ,ɯ,1.0,3,-0.0,ɯ:3
Turkish,Turkmen,ʃ,ʃ,1.0,1,-0.0,ʃ:1
Turkish,Uyghur,a,a,1.0,3,-0.0,a:3
Turkish,Uyghur,b,b,0.75,4,0.811,"b:3, p:1"
Turkish,Uyghur,d,t,1.0,1,-0.0,t:1
Turkish,Uyghur,e,æ,0.667,3,0.918,"æ:2, e:1"
Turkish,Uyghur,g,k,1.0,2,-0.0,k:2
Turkish,Uyghur,i,i,0.889,9,0.503,"i:8, æ:1"
Turkish,Uyghur,k,q,0.5,8,1.406,"q:4, k:3, kː:1"
Turkish,Uyghur,l,l,1.0,1,-0.0,l:1
Turkish,Uyghur,n,n,1.0,2,-0.0,n:2
Turkish,Uyghur,r,r,1.0,4,-0.0,r:4
Turkish,Uyghur,s,s,1.0,1,-0.0,s:1
Turkish,Uyghur,t,d,0.5,2,1.0,"d:1, t:1"
Turkish,Uyghur,u,u,1.0,5,-0.0,u:5
Turkish,Uyghur,z,z,1.0,4,-0.0,z:4
Turkish,Uyghur,ø,ø,1.0,2,-0.0,ø:2
Turkish,Uyghur,ʃ,ʃ,1.0,2,-0.0,ʃ:2
Turkish,Uzbek,-,i,0.5,4,1.5,"i:2, k:1, ʃ:1"
Turkish,Uzbek,a,ɔ,0.75,4,0.811,"ɔ:3, a:1"
Turkish,Uzbek,b,b,1.0,6,-0.0,b:6
Turkish,Uzbek,d,t,1.0,1,-0.0,t:1
Turkish,Uzbek,e,e,0.75,4,0.811,"e:3, a:1"
Turkish,Uzbek,g,k,1.0,2,-0.0,k:2
Turkish,Uzbek,i,i,1.0,8,-0.0,i:8
Turkish,Uzbek,j,j,1.0,2,-0.0,j:2
Turkish,Uzbek,k,q,0.5,10,1.361,"q:5, k:4, kː:1"
Turkish,Uzbek,l,l,1.0,2,-0.0,l:2
Turkish,Uzbek,n,n,1.0,3,-0.0,n:3
Turkish,Uzbek,q,q,1.0,1,-0.0,q:1
Turkish,Uzbek,r,r,1.0,5,-0.0,r:5
Turkish,Uzbek,t,t,1.0,2,-0.0,t:2
Turkish,Uzbek,u,u,1.0,5,-0.0,u:5
Turkish,Uzbek,y,u,1.0,2,-0.0,u:2
Turkish,Uzbek,z,z,1.0,3,-0.0,z:3
Turkish,Uzbek,ø,o,1.0,2,-0.0,o:2
Turkish,Uzbek,ɯ,i,1.0,2,-0.0,i:2
Turkish,Uzbek,ʃ,ʃ,1.0,2,-0.0,ʃ:2
Turkish,Yakut,-,i,0.333,6,2.252,"i:2, e:1, a:1, h:1, ø:1"
Turkish,Yakut,a,aː,0.333,3,1.585,"aː:1, ɯ:1, a:1"
Turkish,Yakut,b,b,1.0,3,-0.0,b:3
Turkish,Yakut,d,t,1.0,2,-0.0,t:2
Turkish,Yakut,e,e,0.5,4,1.0,"e:2, i:2"
Turkish,Yakut,i,i,0.625,8,1.299,"i:5, iː:2, ɯ:1"
Turkish,Yakut,j,s,1.0,1,-0.0,s:1
Turkish,Yakut,k,k,0.333,6,2.252,"k:2, χ:1, -:1, h:1, kː:1"
Turkish,Yakut,n,n,1.0,2,-0.0,n:2
Turkish,Yakut,o,ø,1.0,1,-0.0,ø:1
Turkish,Yakut,r,r,1.0,3,-0.0,r:3
Turkish,Yakut,s,h,0.5,2,1.0,"h:1, -:1"
Turkish,Yakut,t,t,1.0,2,-0.0,t:2
Turkish,Yakut,tɕ,s,0.5,2,1.0,"s:1, t:1"
Turkish,Yakut,u,u,1.0,3,-0.0,u:3
Turkish,Yakut,y,y,1.0,1,-0.0,y:1
Turkish,Yakut,z,g,0.5,2,1.0,"g:1, h:1"
Turkish,Yakut,ɣ,-,1.0,1,-0.0,-:1
Turkish,Yakut,ʃ,s,0.5,2,1.0,"s:1, h:1"
Turkmen,Uyghur,-,i,1.0,1,-0.0,i:1
Turkmen,Uyghur,a,a,1.0,2,-0.0,a:2
Turkmen,Uyghur,aː,a,1.0,1,-0.0,a:1
Turkmen,Uyghur,b,b,0.75,4,0.811,"b:3, p:1"
Turkmen,Uyghur,d,d,0.5,2,1.0,"d:1, t:1"
Turkmen,Uyghur,e,e,1.0,1,-0.0,e:1
Turkmen,Uyghur,g,k,1.0,2,-0.0,k:2
Turkmen,Uyghur,i,i,0.75,8,1.061,"i:6, -:1, æ:1"
Turkmen,Uyghur,j,j,1.0,1,-0.0,j:1
Turkmen,Uyghur,k,kː,1.0,1,-0.0,kː:1
Turkmen,Uyghur,l,l,1.0,1,-0.0,l:1
Turkmen,Uyghur,n,n,1.0,2,-0.0,n:2
Turkmen,Uyghur,q,q,1.0,1,-0.0,q:1
Turkmen,Uyghur,r,r,1.0,3,-0.0,r:3
Turkmen,Uyghur,s,s,1.0,1,-0.0,s:1
Turkmen,Uyghur,t,t,1.0,1,-0.0,t:1
Turkmen,Uyghur,u,u,1.0,4,-0.0,u:4
Turkmen,Uyghur,z,z,1.0,4,-0.0,z:4
Turkmen,Uyghur,ø,ø,1.0,2,-0.0,ø:2
Turkmen,Uyghur,ɢ,q,1.0,3,-0.0,q:3
Turkmen,Uyghur,ɯ,u,1.0,1,-0.0,u:1
Turkmen,Uyghur,ʃ,ʃ,1.0,1,-0.0,ʃ:1
Turkmen,Uzbek,a,ɔ,0.667,3,0.918,"ɔ:2, a:1"
Turkmen,Uzbek,aː,ɔ,1.0,1,-0.0,ɔ:1
Turkmen,Uzbek,b,b,1.0,5,-0.0,b:5
Turkmen,Uzbek,d,t,1.0,2,-0.0,t:2
Turkmen,Uzbek,e,e,1.0,1,-0.0,e:1
Turkmen,Uzbek,g,k,1.0,2,-0.0,k:2
Turkmen,Uzbek,i,i,1.0,7,-0.0,i:7
Turkmen,Uzbek,k,kː,1.0,1,-0.0,kː:1
Turkmen,Uzbek,l,l,1.0,2,-0.0,l:2
Turkmen,Uzbek,n,n,1.0,3,-0.0,n:3
Turkmen,Uzbek,q,q,1.0,3,-0.0,q:3
Turkmen,Uzbek,r,r,1.0,4,-0.0,r:4
Turkmen,Uzbek,t,t,1.0,2,-0.0,t:2
Turkmen,Uzbek,u,u,1.0,4,-0.0,u:4
Turkmen,Uzbek,z,z,1.0,3,-0.0,z:3
Turkmen,Uzbek,ø,o,1.0,2,-0.0,o:2
Turkmen,Uzbek,ɢ,q,1.0,3,-0.0,q:3
Turkmen,Uzbek,ɯ,i,0.667,3,0.918,"i:2, u:1"
Turkmen,Uzbek,ʃ,ʃ,1.0,1,-0.0,ʃ:1
Turkmen,Yakut,-,e,0.5,2,1.0,"e:1, i:1"
Turkmen,Yakut,a,a,1.0,1,-0.0,a:1
Turkmen,Yakut,aː,aː,1.0,1,-0.0,aː:1
Turkmen,Yakut,b,b,1.0,3,-0.0,b:3
Turkmen,Yakut,d,t,1.0,1,-0.0,t:1
Turkmen,Yakut,e,e,0.5,2,1.0,"e:1, i:1"
Turkmen,Yakut,i,i,0.429,7,1.557,"i:3, ɯ:2, iː:2"
Turkmen,Yakut,k,kː,1.0,1,-0.0,kː:1
Turkmen,Yakut,n,n,1.0,2,-0.0,n:2
Turkmen,Yakut,r,r,1.0,2,-0.0,r:2
Turkmen,Yakut,s,h,0.5,2,1.0,"h:1, -:1"
Turkmen,Yakut,t,t,1.0,3,-0.0,t:3
Turkmen,Yakut,tɕ,s,1.0,1,-0.0,s:1
Turkmen,Yakut,u,u,1.0,2,-0.0,u:2
Turkmen,Yakut,z,g,0.5,2,1.0,"g:1, h:1"
Turkmen,Yakut,ɢ,χ,1.0,1,-0.0,χ:1
Turkmen,Yakut,ɯ,u,1.0,1,-0.0,u:1
Uyghur,Uzbek,-,i,0.5,4,1.5,"i:2, k:1, ʃ:1"
Uyghur,Uzbek,a,ɔ,1.0,3,-0.0,ɔ:3
Uyghur,Uzbek,b,b,1.0,4,-0.0,b:4
Uyghur,Uzbek,e,e,1.0,1,-0.0,e:1
Uyghur,Uzbek,i,i,1.0,7,-0.0,i:7
Uyghur,Uzbek,k,k,1.0,5,-0.0,k:5
Uyghur,Uzbek,kː,kː,1.0,1,-0.0,kː:1
Uyghur,Uzbek,l,l,1.0,1,-0.0,l:1
Uyghur,Uzbek,n,n,1.0,2,-0.0,n:2
Uyghur,Uzbek,p,b,1.0,1,-0.0,b:1
Uyghur,Uzbek,q,q,1.0,4,-0.0,q:4
Uyghur,Uzbek,r,r,1.0,4,-0.0,r:4
Uyghur,Uzbek,t,t,1.0,2,-0.0,t:2
Uyghur,Uzbek,u,u,1.0,5,-0.0,u:5
Uyghur,Uzbek,z,z,1.0,3,-0.0,z:3
Uyghur,Uzbek,æ,e,0.333,3,1.585,"e:1, a:1, i:1"
Uyghur,Uzbek,ø,o,1.0,2,-0.0,o:2
Uyghur,Uzbek,ʃ,ʃ,1.0,3,-0.0,ʃ:3
Uyghur,Yakut,-,i,0.5,4,1.5,"i:2, e:1, h:1"
Uyghur,Yakut,a,aː,1.0,1,-0.0,aː:1
Uyghur,Yakut,b,b,1.0,2,-0.0,b:2
Uyghur,Yakut,e,i,1.0,1,-0.0,i:1
Uyghur,Yakut,i,i,0.714,7,1.149,"i:5, ɯ:1, iː:1"
Uyghur,Yakut,k,k,0.667,3,0.918,"k:2, -:1"
Uyghur,Yakut,kː,kː,1.0,1,-0.0,kː:1
Uyghur,Yakut,n,n,1.0,2,-0.0,n:2
Uyghur,Yakut,p,b,1.0,1,-0.0,b:1
Uyghur,Yakut,q,χ,1.0,1,-0.0,χ:1
Uyghur,Yakut,r,r,1.0,3,-0.0,r:3
Uyghur,Yakut,s,h,1.0,1,-0.0,h:1
Uyghur,Yakut,t,t,1.0,2,-0.0,t:2
Uyghur,Yakut,u,u,1.0,3,-0.0,u:3
Uyghur,Yakut,z,g,0.5,2,1.0,"g:1, h:1"
Uyghur,Yakut,æ,e,0.333,3,1.585,"e:1, i:1, iː:1"
Uyghur,Yakut,ʃ,h,1.0,1,-0.0,h:1
Uzbek,Yakut,-,ɣ,1.0,1,-0.0,ɣ:1
Uzbek,Yakut,a,i,1.0,1,-0.0,i:1
Uzbek,Yakut,b,b,1.0,3,-0.0,b:3
Uzbek,Yakut,e,e,0.5,2,1.0,"e:1, i:1"
Uzbek,Yakut,i,i,0.5,10,1.761,"i:5, ɯ:2, iː:2, -:1"
Uzbek,Yakut,k,k,0.5,4,1.0,"k:2, -:2"
Uzbek,Yakut,kː,kː,1.0,1,-0.0,kː:1
Uzbek,Yakut,n,n,1.0,2,-0.0,n:2
Uzbek,Yakut,o,a,1.0,1,-0.0,a:1
Uzbek,Yakut,q,χ,1.0,1,-0.0,χ:1
Uzbek,Yakut,r,r,1.0,3,-0.0,r:3
Uzbek,Yakut,t,t,1.0,3,-0.0,t:3
Uzbek,Yakut,u,u,1.0,3,-0.0,u:3
Uzbek,Yakut,z,h,1.0,1,-0.0,h:1
Uzbek,Yakut,ɔ,aː,1.0,1,-0.0,aː:1
Uzbek,Yakut,ʃ,h,1.0,2,-0.0,h:2
